id,isim,mahalle,enlem,boylam,oda_tipi,fiyat,yorum_sayisi
4067018,cosy room & lovely home near Taksim,Sisli,41.04794,28.98382,Private room,267,0
4072526,stylish&peaceful w/direct seaview,Sariyer,41.12081,29.05594,Private room,384,0
4075029,"bosphorus near to bogazici üniv.  bebek, etiler,",Sariyer,41.08785,29.05577,Private room,309,0
4076629,OASIS SULTANAHMET AT THE HEART OF ISTANBUL,Fatih,41.00591,28.97093,Entire home/apt,761,136
4078835,Kozzy Flat @heart of Bagdat Street ,Kadikoy,40.9634,29.07957,Entire home/apt,686,0
4079466,HISTORICAL COZY APARTMENT / 4 ROOM ,Beyoglu,41.03678,28.98576,Entire home/apt,693,7
4079676,Sweat and Comfortable Room -Kadıköy,Kadikoy,40.99471,29.03383,Private room,96,0
4079935,Cihangir Home with a Bosphorus View,Beyoglu,41.03154,28.98673,Entire home/apt,411,1
4080226,Central Istanbul Experience,Sisli,41.06039,28.98492,Entire home/apt,185,0
4081386,Perayata Studio#2/ near Taksim,Beyoglu,41.02993,28.96941,Entire home/apt,274,97
4081577,Taksim Mass Apart,Beyoglu,41.03943,28.98135,Entire home/apt,302,0
4086037,Basement Double,Fatih,41.00565,28.9698,Private room,322,12
4086099,OLD CITY ROOM- GROUND FLOOR,Fatih,41.00557,28.96973,Private room,398,10
4086126,One Bedroom Apartment,Fatih,41.00575,28.96972,Private room,459,2
4086202,OLD CITY DELUXE APARTMENT 1+1,Fatih,41.00566,28.96977,Private room,686,3
4086532,Rahat Ulaşım/Vialand Yanında,Eyup,41.07473,28.92724,Private room,48,0
